Frame station,draught,BASE VALUE (SF),DRAFT CORRECT. (CD) SF,TRIM CORRECT. (CT) SF,BASE VALUE (BM),DRAFT CORRECT. (CD) BM,TRIM CORRECT. (CT) BM
84.5,12.5,76.063,7.343,-1.936,4679.288,466.381,-153.664
84.5,13,79.734,7.349,-1.941,4912.478,467.067,-154.152
84.5,13.5,83.409,7.355,-1.945,5146.012,467.753,-154.64
84.5,14,87.086,7.361,-1.949,5379.888,468.439,-155.128
84.5,14.5,90.766,7.366,-1.953,5614.108,469.125,-155.616
84.5,15,94.45,7.372,-1.957,5848.67,469.811,-156.104
84.5,15.5,98.136,7.378,-1.961,6083.576,470.497,-156.592
84.5,16,101.825,7.384,-1.965,6318.824,471.183,-157.08
84.5,16.5,105.517,7.39,-1.969,6554.416,471.869,-157.568
84.5,17,109.211,7.395,-1.973,6790.35,472.555,-158.056
84.5,17.5,112.909,7.401,-1.977,7026.628,473.241,-158.544
84.5,18,116.61,7.407,-1.982,7263.248,473.927,-159.032
84.5,18.5,120.313,7.413,-1.986,7500.212,474.613,-159.52
84.5,19,124.02,7.419,-1.99,7737.518,475.299,-160.008
84.5,19.5,127.729,7.424,-1.994,7975.168,475.985,-160.496
84.5,20,131.441,7.43,-1.998,8213.16,476.671,-160.984
84.5,20.5,135.156,7.436,-2.002,8451.496,477.357,-161.472
84.5,21,138.874,7.442,-2.006,8690.174,478.043,-161.96
84.5,21.5,142.595,7.448,-2.01,8929.196,478.729,-162.448
79,2,-0.015,8.816,-1.892,-143.668,670.274,-194.666
79,2.5,4.393,8.822,-1.896,191.469,671.117,-195.265
79,3,8.804,8.828,-1.901,527.027,671.96,-195.864
79,3.5,13.217,8.833,-1.905,863.007,672.802,-196.463
79,4,17.634,8.839,-1.909,1199.408,673.646,-197.062
79,4.5,22.054,8.845,-1.913,1536.231,674.489,-197.661
79,5,26.476,8.851,-1.917,1873.475,675.332,-198.26
79,5.5,30.901,8.857,-1.921,2211.141,676.174,-198.859
79,6,35.33,8.862,-1.925,2549.228,677.018,-199.458
79,6.5,39.761,8.868,-1.929,2887.737,677.861,-200.057
79,7,44.195,8.874,-1.933,3226.667,678.704,-200.656
79,7.5,48.632,8.88,-1.937,3566.019,679.547,-201.255
79,8,53.072,8.886,-1.942,3905.792,680.389,-201.854
79,8.5,57.514,8.891,-1.946,4245.987,681.233,-202.453
79,9,61.96,8.897,-1.95,4586.603,682.076,-203.052
79,9.5,66.409,8.903,-1.954,4927.641,682.919,-203.651
79,10,70.86,8.909,-1.958,5269.1,683.761,-204.25
79,10.5,75.314,8.915,-1.962,5610.981,684.605,-204.849
79,11,79.772,8.92,-1.966,5953.283,685.448,-205.448
79,11.5,84.232,8.926,-1.97,6296.007,686.29,-206.047
79,12,88.695,8.932,-1.974,6639.152,687.134,-206.646
79,12.5,93.161,8.938,-1.978,6982.719,687.977,-207.245
79,13,97.63,8.944,-1.983,7326.707,688.819,-207.844
79,13.5,102.101,8.949,-1.987,7671.117,689.663,-208.443
79,14,106.576,8.955,-1.991,8015.948,690.506,-209.042
79,14.5,111.054,8.961,-1.995,8361.201,691.348,-209.641
79,15,115.534,8.967,-1.999,8706.875,692.192,-210.24
79,15.5,120.017,8.973,-2.003,9052.971,693.035,-210.839
79,16,124.504,8.978,-2.007,9399.488,693.877,-211.438
79,16.5,128.993,8.984,-2.011,9746.427,694.72,-212.037
79,17,133.485,8.99,-2.015,10093.787,695.564,-212.636
79,17.5,137.98,8.996,-2.019,10441.569,696.406,-213.235
79,18,142.478,9.002,-2.024,10789.772,697.25,-213.834
79,18.5,146.978,9.007,-2.028,11138.397,698.092,-214.433
79,19,151.482,9.013,-2.032,11487.443,698.936,-215.032
79,19.5,155.989,9.019,-2.036,11836.911,699.779,-215.631
79,20,160.498,9.025,-2.04,12186.8,700.621,-216.23
79,20.5,165.01,9.03,-2.044,12537.111,701.465,-216.829
79,21,169.526,9.036,-2.048,12887.843,702.307,-217.428
79,21.5,174.044,9.042,-2.052,13238.997,703.151,-218.027
73.5,2,0.345,10.412,-1.799,-138.992,932.002,-245.218
73.5,2.5,5.55,10.417,-1.803,327.009,933.001,-245.928
73.5,3,10.759,10.423,-1.807,793.509,933.999,-246.638
73.5,3.5,15.97,10.429,-1.811,1260.509,934.999,-247.348
73.5,4,21.185,10.434,-1.815,1728.008,935.998,-248.058
73.5,4.5,26.402,10.44,-1.82,2196.007,936.996,-248.768
73.5,5,31.622,10.446,-1.824,2664.505,937.995,-249.478
73.5,5.5,36.845,10.451,-1.828,3133.503,938.995,-250.188
73.5,6,42.071,10.457,-1.832,3603,939.993,-250.898
73.5,6.5,47.299,10.463,-1.836,4072.997,940.993,-251.608
73.5,7,52.531,10.469,-1.84,4543.493,941.992,-252.318
73.5,7.5,57.765,10.474,-1.844,5014.489,942.99,-253.028
73.5,8,63.002,10.48,-1.848,5485.984,943.99,-253.738
73.5,8.5,68.242,10.486,-1.852,5957.979,944.989,-254.448
73.5,9,73.485,10.491,-1.856,6430.473,945.987,-255.158
73.5,9.5,78.73,10.497,-1.861,6903.467,946.986,-255.868
73.5,10,83.979,10.503,-1.865,7376.96,947.986,-256.578
73.5,10.5,89.23,10.508,-1.869,7850.953,948.984,-257.288
73.5,11,94.485,10.514,-1.873,8325.445,949.983,-257.998
73.5,11.5,99.742,10.52,-1.877,8800.437,950.983,-258.708
73.5,12,105.002,10.526,-1.881,9275.928,951.981,-259.418
73.5,12.5,110.264,10.531,-1.885,9751.919,952.981,-260.128
73.5,13,115.53,10.537,-1.889,10228.409,953.98,-260.838
73.5,13.5,120.798,10.543,-1.893,10705.399,954.978,-261.548
73.5,14,126.07,10.548,-1.897,11182.888,955.978,-262.258
73.5,14.5,131.344,10.554,-1.902,11660.877,956.977,-262.968
73.5,15,136.621,10.56,-1.906,12139.365,957.975,-263.678
73.5,15.5,141.901,10.565,-1.91,12618.353,958.975,-264.388
73.5,16,147.184,10.571,-1.914,13097.84,959.974,-265.098
73.5,16.5,152.469,10.577,-1.918,13577.827,960.972,-265.808
73.5,17,157.758,10.583,-1.922,14058.313,961.972,-266.518
73.5,17.5,163.049,10.588,-1.926,14539.299,962.971,-267.228
73.5,18,168.343,10.594,-1.93,15020.784,963.969,-267.938
73.5,18.5,173.64,10.6,-1.934,15502.769,964.968,-268.648
73.5,19,178.94,10.605,-1.938,15985.253,965.968,-269.358
73.5,19.5,184.242,10.611,-1.943,16468.237,966.966,-270.068
73.5,20,189.548,10.617,-1.947,16951.72,967.966,-270.778
73.5,20.5,194.856,10.622,-1.951,17435.703,968.965,-271.488
73.5,21,200.168,10.628,-1.955,17920.185,969.963,-272.198
73.5,21.5,205.482,10.634,-1.959,18405.167,970.962,-272.908
68,2,0.643,12.007,-1.571,-125.41,1237.173,-291.39
68,2.5,6.646,12.013,-1.575,493.176,1238.324,-292.212
68,3,12.653,12.018,-1.579,1112.338,1239.475,-293.033
68,3.5,18.662,12.024,-1.583,1732.075,1240.626,-293.855
68,4,24.674,12.029,-1.587,2352.388,1241.777,-294.676
68,4.5,30.688,12.035,-1.591,2973.276,1242.928,-295.498
68,5,36.706,12.04,-1.595,3604.74,1244.07,-296.319
68,5.5,42.726,12.046,-1.599,4216.779,1245.23,-297.141
68,6,48.748,12.051,-1.603,4839.394,1246.381,-297.962
68,6.5,54.774,12.057,-1.608,5462.584,1247.532,-298.784
68,7,60.802,12.062,-1.612,6086.35,1248.683,-299.605
