Frame station,draught,BASE VALUE (SF),DRAFT CORRECT. (CD) SF,TRIM CORRECT. (CT) SF,BASE VALUE (BM),DRAFT CORRECT. (CD) BM,TRIM CORRECT. (CT) BM
36,9,57.907,8.162,-0.327,5558,770,-134.456
36,9.5,61.988,8.174,-0.324,5943,770,-134.456
36,10,66.075,8.182,-0.321,6328,772,-134.456
36,10.5,70.166,8.188,-0.318,6714,770,-134.544
36,11,74.26,8.194,-0.317,7099,770,-134.544
36,11.5,78.357,8.198,-0.315,7484,770,-134.544
36,12,82.456,8.206,-0.313,7869,770,-134.456
36,12.5,86.559,8.208,-0.311,8254,772,-134.456
36,13,90.663,8.212,-0.31,8640,770,-134.544
36,13.5,94.769,8.216,-0.309,9025,770,-134.544
36,14,98.877,8.218,-0.307,9410,770,-134.544
36,14.5,102.986,8.222,-0.306,9795,770,-134.456
36,15,107.097,8.228,-0.306,10180,772,-134.456
36,15.5,111.211,8.232,-0.306,10566,770,-134.794
36,16,115.327,8.232,-0.306,10951,770,-134.878
