Trim,DRAFT,DISPL,TPC,LCB,LCF,MTC,TKM,VCB,LKM,DISP_NAKED
-1,7.96,63325.86,84.74,125.09,120.97,1152.77,22.49,4.08,425.7,63093.84
-1,7.97,63410.59,84.76,125.08,120.96,1153.19,22.47,4.09,425.29,63178.42
-1,7.98,63495.35,84.77,125.08,120.95,1153.61,22.46,4.09,424.88,63263.02
-1,7.99,63580.11,84.78,125.07,120.93,1154.03,22.44,4.1,424.47,63347.62
-1,8,63664.89,84.79,125.07,120.92,1154.46,22.43,4.1,424.07,63432.23
-1,8.01,63749.69,84.81,125.06,120.91,1154.89,22.41,4.11,423.66,63516.86
-1,8.02,63834.49,84.82,125.06,120.9,1155.31,22.39,4.12,423.26,63601.51
-1,8.03,63919.3,84.83,125.05,120.89,1155.74,22.38,4.12,422.86,63686.16
-1,8.04,64004.14,84.84,125.04,120.87,1156.17,22.36,4.13,422.46,63770.82
-1,8.05,64088.98,84.86,125.04,120.86,1156.61,22.34,4.13,422.06,63855.5
-1,8.06,64173.84,84.87,125.03,120.85,1157.04,22.33,4.14,421.66,63940.2
-1,8.07,64258.7,84.88,125.03,120.84,1157.48,22.31,4.14,421.27,64024.89
-1,8.08,64343.59,84.89,125.02,120.83,1157.91,22.3,4.15,420.88,64109.61
-1,8.09,64428.48,84.91,125.02,120.81,1158.35,22.28,4.15,420.48,64194.34
-1,8.1,64513.39,84.92,125.01,120.8,1158.79,22.26,4.16,420.09,64279.08
-1,8.11,64598.3,84.93,125.01,120.79,1159.23,22.25,4.16,419.7,64363.82
-1,8.12,64683.23,84.95,125,120.78,1159.67,22.23,4.17,419.32,64448.59
-1,8.13,64768.18,84.96,124.99,120.77,1160.12,22.22,4.17,418.93,64533.37
-1,8.14,64853.14,84.97,124.99,120.75,1160.57,22.2,4.18,418.55,64618.16
-1,8.15,64938.1,84.98,124.98,120.74,1161.01,22.19,4.18,418.16,64702.96
-1,8.16,65023.08,85,124.98,120.73,1161.46,22.17,4.19,417.78,64787.78
-1,8.17,65108.08,85.01,124.97,120.72,1161.91,22.16,4.19,417.4,64872.61
-1,8.18,65193.09,85.02,124.97,120.7,1162.36,22.14,4.2,417.02,64957.46
-1,8.19,65278.11,85.03,124.96,120.69,1162.82,22.12,4.2,416.65,65042.3
-1,8.2,65363.14,85.05,124.95,120.68,1163.27,22.11,4.21,416.27,65127.17
-1,8.21,65448.19,85.06,124.95,120.67,1163.73,22.09,4.21,415.9,65212.06
-1,8.22,65533.25,85.07,124.94,120.65,1164.19,22.08,4.22,415.52,65296.95
-1,8.23,65618.31,85.09,124.94,120.64,1164.65,22.06,4.22,415.15,65381.86
-1,8.24,65703.41,85.1,124.93,120.63,1165.11,22.05,4.23,414.78,65466.78
-1,8.25,65788.5,85.11,124.93,120.62,1165.57,22.03,4.23,414.42,65551.71
-1,8.26,65873.62,85.13,124.92,120.6,1166.04,22.02,4.24,414.05,65636.66
-1,8.27,65958.75,85.14,124.92,120.59,1166.51,22,4.24,413.68,65721.62
-1,8.28,66043.87,85.15,124.91,120.58,1166.97,21.99,4.25,413.32,65806.59
-1,8.29,66129.03,85.17,124.9,120.57,1167.44,21.97,4.25,412.96,65891.57
-1,8.3,66214.2,85.18,124.9,120.55,1167.92,21.96,4.26,412.6,65976.58
-1,8.31,66299.38,85.19,124.89,120.54,1168.39,21.95,4.27,412.24,66061.59
-1,8.32,66384.56,85.21,124.89,120.53,1168.86,21.93,4.27,411.88,66146.61
-1,8.33,66469.77,85.22,124.88,120.51,1169.34,21.92,4.28,411.52,66231.65
-1,8.34,66554.98,85.24,124.88,120.5,1169.82,21.9,4.28,411.17,66316.7
-1,8.35,66640.23,85.24,124.87,120.49,1170.3,21.89,4.29,410.81,66401.77
-1,8.36,66725.46,85.27,124.86,120.47,1170.78,21.87,4.29,410.46,66486.84
-1,8.37,66810.73,85.27,124.86,120.46,1171.26,21.86,4.3,410.11,66571.95
-1,8.38,66896,85.29,124.85,120.45,1171.75,21.84,4.3,409.76,66657.05
-1,8.39,66981.28,85.31,124.85,120.43,1172.23,21.83,4.31,409.41,66742.17
-1,8.4,67066.59,85.31,124.84,120.42,1172.72,21.82,4.31,409.06,66827.3
-1,8.41,67151.9,85.33,124.84,120.41,1173.21,21.8,4.32,408.72,66912.45
-1,8.42,67237.23,85.34,124.83,120.39,1173.7,21.79,4.32,408.37,66997.62
-1,8.43,67322.57,85.36,124.82,120.38,1174.2,21.77,4.33,408.03,67082.79
-1,8.44,67407.91,85.38,124.82,120.37,1174.69,21.76,4.33,407.69,67167.97
-1,8.45,67493.29,85.38,124.81,120.35,1175.19,21.75,4.34,407.35,67253.18
-1,8.46,67578.67,85.4,124.81,120.34,1175.69,21.73,4.34,407.01,67338.4
-1,8.47,67664.07,85.41,124.8,120.33,1176.19,21.72,4.35,406.68,67423.63
-1,8.48,67749.48,85.42,124.8,120.31,1176.69,21.7,4.35,406.34,67508.87
-1,8.49,67834.9,85.45,124.79,120.3,1177.2,21.69,4.36,406.01,67594.12
-1,8.5,67920.34,85.45,124.78,120.28,1177.7,21.68,4.36,405.67,67679.41
-1,8.51,68005.8,85.47,124.78,120.27,1178.21,21.66,4.37,405.34,67764.7
-1,8.52,68091.27,85.48,124.77,120.26,1178.72,21.65,4.37,405.01,67850
