Frame station,draught,Displacement,BASE VALUE (SF),DRAFT CORRECT. (CD) SF,TRIM CORRECT. (CT) SF,BASE VALUE (BM),DRAFT CORRECT. (CD) BM,TRIM CORRECT. (CT) BM
241,4.5,45075,4.413,2.435,-0.868,86.793,67.995,-26.125
241,5,50413,5.63,2.439,-0.871,120.79,68.181,-26.267
241,5.5,55787,6.85,2.444,-0.874,154.881,68.367,-26.409
241,6,61195,8.071,2.448,-0.877,189.064,68.553,-26.551
241,6.5,66637,9.295,2.452,-0.88,223.341,68.739,-26.693
241,7,72109,10.521,2.456,-0.883,257.71,68.925,-26.835
241,7.5,77610,11.75,2.461,-0.886,292.173,69.111,-26.977
241,8,83141,12.98,2.465,-0.89,326.728,69.297,-27.119
241,8.5,88700,14.213,2.469,-0.893,361.377,69.483,-27.261
241,9,94287,15.447,2.474,-0.896,396.118,69.669,-27.403
241,9.5,99904,16.684,2.478,-0.899,430.953,69.855,-27.545
241,10,105551,17.923,2.482,-0.902,465.88,70.041,-27.687
241,10.5,111229,19.164,2.487,-0.905,500.901,70.227,-27.829
241,11,116939,20.407,2.491,-0.908,536.014,70.413,-27.971
241,11.5,122683,21.653,2.495,-0.912,571.221,70.599,-28.113
241,12,128462,22.9,2.499,-0.915,606.52,70.785,-28.255
241,12.5,134277,24.15,2.504,-0.918,641.913,70.971,-28.397
241,13,140126,25.402,2.508,-0.921,677.398,71.157,-28.539
241,13.5,146002,26.656,2.512,-0.924,712.977,71.343,-28.681
241,14,151911,27.912,2.517,-0.927,748.648,71.529,-28.823
241,14.5,157849,29.171,2.521,-0.931,784.413,71.715,-28.965
241,15,163817,30.431,2.525,-0.934,820.27,71.901,-29.107
241,15.5,169812,31.694,2.53,-0.937,856.221,72.087,-29.249
241,16,175834,32.958,2.534,-0.94,892.264,72.273,-29.391
241,16.5,181880,34.225,2.538,-0.943,928.401,72.459,-29.533
241,17,187948,35.494,2.542,-0.946,964.63,72.645,-29.675
241,17.5,194030,36.766,2.547,-0.949,1000.953,72.831,-29.817
241,18,200129,38.039,2.551,-0.953,1037.368,73.017,-29.959
241,18.5,206249,39.315,2.555,-0.956,1073.877,73.203,-30.101
241,19,212382,40.592,2.56,-0.959,1110.478,73.389,-30.243
241,19.5,218522,41.872,2.564,-0.962,1147.173,73.575,-30.385
241,20,224668,43.154,2.568,-0.965,1183.96,73.761,-30.527
241,20.5,230825,44.438,2.573,-0.968,1220.841,73.947,-30.669
226.5,2,19042,-1.655,3.015,-1,-103.238,102.489,-37.53
226.5,2.5,24140,-0.147,3.02,-1.003,-51.994,102.732,-37.713
226.5,3,29301,1.363,3.024,-1.007,-0.628,102.975,-37.896
226.5,3.5,34515,2.874,3.028,-1.01,50.859,103.218,-38.079
226.5,4,39775,4.389,3.033,-1.013,102.468,103.461,-38.262
226.5,4.5,45075,5.905,3.037,-1.016,154.198,103.704,-38.445
226.5,5,50413,7.424,3.042,-1.019,206.05,103.947,-38.628
226.5,5.5,55787,8.944,3.046,-1.022,258.023,104.19,-38.811
226.5,6,61195,10.467,3.05,-1.025,310.118,104.433,-38.994
226.5,6.5,66637,11.992,3.055,-1.029,362.334,104.676,-39.177
226.5,7,72109,13.52,3.059,-1.032,414.672,104.919,-39.36
226.5,7.5,77610,15.049,3.064,-1.035,467.131,105.162,-39.543
226.5,8,83141,16.581,3.068,-1.038,519.712,105.405,-39.726
226.5,8.5,88700,18.115,3.072,-1.041,572.414,105.648,-39.909
226.5,9,94287,19.651,3.077,-1.044,625.238,105.891,-40.092
226.5,9.5,99904,21.189,3.081,-1.047,678.183,106.134,-40.275
226.5,10,105551,22.73,3.086,-1.051,731.25,106.377,-40.458
226.5,10.5,111229,24.273,3.09,-1.054,784.438,106.62,-40.641
226.5,11,116939,25.818,3.094,-1.057,837.748,106.863,-40.824
226.5,11.5,122683,27.365,3.099,-1.06,891.179,107.106,-41.007
226.5,12,128462,28.914,3.103,-1.063,944.732,107.349,-41.19
226.5,12.5,134277,30.466,3.107,-1.066,998.406,107.592,-41.373
226.5,13,140126,32.02,3.112,-1.07,1052.202,107.835,-41.556
226.5,13.5,146002,33.575,3.116,-1.073,1106.119,108.078,-41.739
226.5,14,151911,35.134,3.121,-1.076,1160.158,108.321,-41.922
226.5,14.5,157849,36.694,3.125,-1.079,1214.318,108.564,-42.105
226.5,15,163817,38.257,3.129,-1.082,1268.6,108.807,-42.288
226.5,15.5,169812,39.821,3.134,-1.085,1323.003,109.05,-42.471
226.5,16,175834,41.388,3.138,-1.088,1377.528,109.293,-42.654
226.5,16.5,181880,42.957,3.143,-1.092,1432.174,109.536,-42.837
226.5,17,187948,44.529,3.147,-1.095,1486.942,109.779,-43.02
226.5,17.5,194030,46.102,3.152,-1.098,1541.831,110.022,-43.203
226.5,18,200129,47.678,3.156,-1.101,1596.842,110.265,-43.386
226.5,18.5,206249,49.256,3.16,-1.104,1651.974,110.508,-43.569
226.5,19,212382,50.836,3.165,-1.107,1707.228,110.751,-43.752
226.5,19.5,218522,52.418,3.169,-1.11,1762.603,110.994,-43.935
226.5,20,224668,54.003,3.173,-1.114,1818.1,111.237,-44.118
226.5,20.5,230825,55.59,3.178,-1.117,1873.718,111.48,-44.301
212,2,19042,-1.666,3.616,-1.121,-124.988,145.756,-51.399
212,2.5,24140,0.142,3.621,-1.124,-52.11,146.056,-51.623
212,3,29301,1.952,3.625,-1.127,20.918,146.356,-51.847
212,3.5,34515,3.765,3.63,-1.13,94.096,146.656,-52.071
212,4,39775,5.579,3.634,-1.133,167.424,146.956,-52.295
212,4.5,45075,7.396,3.638,-1.136,240.902,147.256,-52.519
212,5,50413,9.216,3.643,-1.14,314.53,147.556,-52.743
212,5.5,55787,11.037,3.647,-1.143,388.308,147.856,-52.967
212,6,61195,12.86,3.652,-1.146,462.236,148.156,-53.191
212,6.5,66637,14.686,3.656,-1.149,536.314,148.456,-53.415
212,7,72109,16.514,3.66,-1.152,610.542,148.756,-53.639
212,7.5,77610,18.344,3.665,-1.155,684.92,149.056,-53.863
212,8,83141,20.177,3.669,-1.159,759.448,149.356,-54.087
212,8.5,88700,22.011,3.673,-1.162,834.126,149.656,-54.311
212,9,94287,23.848,3.678,-1.165,908.954,149.956,-54.535
212,9.5,99904,25.687,3.682,-1.168,983.932,150.256,-54.759
212,10,105551,27.528,3.687,-1.171,1059.06,150.556,-54.983
212,10.5,111229,29.371,3.691,-1.174,1134.338,150.856,-55.207
212,11,116939,31.217,3.696,-1.177,1209.766,151.156,-55.431
212,11.5,122683,33.065,3.7,-1.181,1285.344,151.456,-55.655
212,12,128462,34.915,3.704,-1.184,1361.072,151.756,-55.879
212,12.5,134277,36.767,3.709,-1.187,1436.95,152.056,-56.103
212,13,140126,38.621,3.713,-1.19,1512.978,152.356,-56.327
212,13.5,146002,40.478,3.718,-1.193,1589.156,152.656,-56.551
212,14,151911,42.336,3.722,-1.196,1665.484,152.956,-56.775
212,14.5,157849,44.197,3.726,-1.199,1741.962,153.256,-56.999
212,15,163817,46.061,3.731,-1.203,1818.59,153.556,-57.223
212,15.5,169812,47.926,3.735,-1.206,1895.368,153.856,-57.447
212,16,175834,49.793,3.74,-1.209,1972.296,154.156,-57.671
212,16.5,181880,51.663,3.744,-1.212,2049.374,154.456,-57.895
212,17,187948,53.535,3.748,-1.215,2126.602,154.756,-58.119
212,17.5,194030,55.409,3.753,-1.218,2203.98,155.056,-58.343
212,18,200129,57.286,3.757,-1.222,2281.508,155.356,-58.567
212,18.5,206249,59.164,3.762,-1.225,2359.186,155.656,-58.791
212,19,212382,61.045,3.766,-1.228,2437.014,155.956,-59.015
212,19.5,218522,62.928,3.77,-1.231,2514.992,156.256,-59.239
212,20,224668,64.813,3.775,-1.234,2593.12,156.556,-59.463
212,20.5,230825,66.7,3.779,-1.237,2671.398,156.856,-59.687
197.5,2,19042,-1.679,4.218,-1.213,-147.042,196.874,-66.659
197.5,2.5,24140,0.43,4.222,-1.216,-48.605,197.232,-66.925
197.5,3,29301,2.541,4.227,-1.22,50.011,197.59,-67.19
197.5,3.5,34515,4.655,4.231,-1.223,148.806,197.948,-67.456
197.5,4,39775,6.77,4.236,-1.226,247.78,198.306,-67.721
197.5,4.5,45075,8.888,4.24,-1.229,346.933,198.664,-67.987
197.5,5,50413,11.009,4.245,-1.232,446.265,199.022,-68.252
197.5,5.5,55787,13.131,4.249,-1.235,545.776,199.38,-68.518
197.5,6,61195,15.256,4.254,-1.238,645.466,199.738,-68.783
197.5,6.5,66637,17.383,4.258,-1.242,745.335,200.096,-69.049
197.5,7,72109,19.512,4.263,-1.245,845.383,200.454,-69.314
197.5,7.5,77610,21.643,4.267,-1.248,945.61,200.812,-69.58
197.5,8,83141,23.777,4.272,-1.251,1046.016,201.17,-69.845
197.5,8.5,88700,25.913,4.276,-1.254,1146.601,201.528,-70.111
197.5,9,94287,28.051,4.281,-1.257,1247.365,201.886,-70.376
197.5,9.5,99904,30.191,4.285,-1.26,1348.308,202.244,-70.642
197.5,10,105551,32.334,4.29,-1.264,1449.43,202.602,-70.907
197.5,10.5,111229,34.479,4.294,-1.267,1550.731,202.96,-71.173
197.5,11,116939,36.626,4.299,-1.27,1652.211,203.318,-71.438
197.5,11.5,122683,38.776,4.303,-1.273,1753.87,203.676,-71.704
197.5,12,128462,40.927,4.308,-1.276,1855.708,204.034,-71.969
197.5,12.5,134277,43.081,4.312,-1.279,1957.725,204.392,-72.235
197.5,13,140126,45.237,4.317,-1.283,2059.921,204.75,-72.5
